,Avg_FT_DPRRA,Avg_FT_RRA,,,l2Norm_DPRRA,l2Norm_RRA,,,Avg_CS_DPRRA,Avg_CS_RRA,,,Avg_TP_DPRRA,Avg_TP_RRA,,,Avg_TQ_DPRRA,Avg_TQ_RRA
4030,51.4682,8.17816,,4030,3578.53,588.323,,4030,1.59107,1.49975,,4030,0.0194295,0.122277,,4030,1194.63,403
4055,49.4116,9.01134,,4055,3550.58,644.848,,4055,1.57682,1.50012,,4055,0.0202382,0.110971,,4055,1208.1,415
4080,54.0767,9.57598,,4080,3699.29,694.629,,4080,1.60809,1.49926,,4080,0.0184922,0.104428,,4080,1282.79,419
4105,66.7474,8.34909,,4105,6257.33,604.352,,4105,1.6475,1.50012,,4105,0.0149819,0.119774,,4105,1361.23,411
4130,105.623,8.92397,,4130,25909,669.41,,4130,1.65351,1.49831,,4130,0.00946763,0.112058,,4130,1411.96,413
4155,90.2787,9.19158,,4155,20999.3,854.835,,4155,1.61396,1.49964,,4155,0.0110768,0.108795,,4155,1383.54,419
4180,56.0648,9.12273,,4180,3876.31,657.482,,4180,1.62584,1.50287,,4180,0.0178365,0.109616,,4180,1311.75,416
4205,48.0378,9.77907,,4205,3567.71,723.908,,4205,1.55125,1.49964,,4205,0.0208169,0.102259,,4205,1256.72,439
4230,54.4534,9.13215,,4230,4403.61,668.53,,4230,1.57991,1.50567,,4230,0.0183643,0.109503,,4230,1285.02,420
4255,54.5217,8.79577,,4255,3895.31,659.885,,4255,1.60094,1.5067,,4255,0.0183413,0.113691,,4255,1299.65,421
4280,58.2579,9.49322,,4280,5725.17,699.439,,4280,1.61121,1.51028,,4280,0.017165,0.105338,,4280,1330.35,423
4305,48.7545,8.89501,,4305,3585.31,656.986,,4305,1.5626,1.49919,,4305,0.0205109,0.112423,,4305,1289.33,434
4330,56.2035,8.68961,,4330,4035.91,657.437,,4330,1.62079,1.49908,,4330,0.0177925,0.11508,,4330,1343.88,439
4355,56.9116,9.12285,,4355,4139.15,685.835,,4355,1.63375,1.50034,,4355,0.0175711,0.109615,,4355,1331.53,434
4380,54.203,8.11438,,4380,3899.77,619.044,,4380,1.61484,1.49954,,4380,0.0184492,0.123238,,4380,1355.74,444
4405,55.9467,9.59319,,4405,4127.46,731.485,,4405,1.62611,1.50692,,4405,0.0178742,0.104241,,4405,1334.56,437
4430,55.4086,9.52551,,4430,4012.24,722.037,,4430,1.62483,1.49977,,4430,0.0180477,0.104981,,4430,1380.65,447
4455,52.8319,9.55466,,4455,3868.68,718.23,,4455,1.60157,1.49989,,4455,0.018928,0.104661,,4455,1365.99,450
4480,63.169,9.09062,,4480,5614.32,685.934,,4480,1.63594,1.49911,,4480,0.0158306,0.110003,,4480,1446.66,449
4505,51.8693,8.45638,,4505,3764.61,637.939,,4505,1.59423,1.499,,4505,0.0192792,0.118254,,4505,1374.21,464
4530,57.3554,9.64305,,4530,4290.77,739.233,,4530,1.63046,1.50353,,4530,0.0174351,0.103702,,4530,1385.39,450
4555,57.863,9.72141,,4555,5222.79,742.471,,4555,1.60483,1.49967,,4555,0.0172822,0.102866,,4555,1448.27,461
4580,48.2871,9.11594,,4580,3886.72,693.593,,4580,1.54476,1.50764,,4580,0.0207095,0.109698,,4580,1341.28,455
4605,59.9855,10.9266,,4605,5103.44,1301.26,,4605,1.61802,1.53116,,4605,0.0166707,0.0915198,,4605,1454.81,445
4630,57.9069,9.46847,,4630,4192.56,728.435,,4630,1.64622,1.51663,,4630,0.0172691,0.105614,,4630,1451.28,455
4655,52.8314,9.11257,,4655,3963.59,712.624,,4655,1.60129,1.49989,,4655,0.0189282,0.109739,,4655,1413.42,468
4680,66.366,9.32457,,4680,8226.26,722.877,,4680,1.61902,1.5203,,4680,0.015068,0.107244,,4680,1544.49,458
4705,60.8204,9.74516,,4705,4635.27,777.22,,4705,1.64676,1.51711,,4705,0.0164419,0.102615,,4705,1483.14,462
4730,62.1446,8.54101,,4730,7099.01,658.337,,4730,1.61734,1.5,,4730,0.0160915,0.117082,,4730,1530.11,483
4755,56.858,9.28854,,4755,4428.59,717.556,,4755,1.62755,1.502,,4755,0.0175877,0.10766,,4755,1467.06,474
4780,55.0728,9.20649,,4780,4227.51,714.473,,4780,1.61192,1.50628,,4780,0.0181578,0.108619,,4780,1470.53,475
4805,55.7392,9.42685,,4805,4252.35,737.082,,4805,1.60937,1.51405,,4805,0.0179407,0.10608,,4805,1473.33,472
